,38,"SELECT ArtistId, Name FROM Artist
WHERE Name LIKE '_ %';","SELECT ArtistId, Name FROM Artist
WHERE Name LIKE '_%';",pm,"0,833333",,0,
,40,,"SELECT InvoiceId, InvoiceDate, BillingCountry FROM Invoice 
WHERE BillingCountry IN ('USA', 'Brazil');",pm,1,,1,
between,41,"SELECT InvoiceId, InvoiceDate, BillingCountry FROM Invoice
WHERE InvoiceDate between '2012-06-04 00:00:00' AND '2012-07-28 00:00:00';","SELECT InvoiceId, InvoiceDate, BillingCountry FROM Invoice;",0,"0,4",,1,
,42,,"SELECT InvoiceId, InvoiceDate, BillingCountry FROM Invoice
WHERE InvoiceDate between '2012-05-04 00:00:00' AND '2012-07-28 00:00:00';
",pm,"0,9",,0,
,43,"SELECT InvoiceId, CustomerId FROM Invoice
WHERE InvoiceId between 50 AND 100;","SELECT InvoiceId, CustomerId FROM Invoice
WHERE InvoiceId between 0 AND 120;
",pm,"0,777778",good example of PM evaluation,0,
column alias,44,SELECT Name AS Genres FROM Genre;,SELECT Name AS Genre FROM Genre;,pm,1,,1,
union,45,"SELECT City FROM Customer
UNION 
SELECT City FROM Employee;",SELECT City FROM Customer;,0,"0,4",,1,
,46,,"SELECT City FROM Customer
UNION 
SELECT BillingCity FROM Invoice;",pm,"0,6",,0,
,47,"SELECT City FROM Customer
UNION ALL
SELECT City FROM Employee;
","SELECT City FROM Customer
UNION 
SELECT City FROM Employee;
",pm,1,,1,
"group by, having",49,"SELECT InvoiceId, CustomerId, count(CustomerId) FROM Invoice GROUP BY CustomerId;","SELECT InvoiceId, CustomerId, count(CustomerId) FROM Invoice
GROUP BY InvoiceId;",pm,1,,1,
,50,"SELECT CustomerId, count(CustomerId) FROM Invoice
group by CustomerId
having count(CustomerId) < 7;","SELECT CustomerId, count(CustomerId) FROM Invoice
group by CustomerId;",0,1,,1,
,51,,"SELECT CustomerId, count(CustomerId) FROM Invoice
group by CustomerId
having count(CustomerId) > 1;",pm,1,,1,
exists,52,"SELECT TrackID, Name, GenreID 
FROM Track
WHERE EXISTS
(SELECT GenreID FROM Genre WHERE Track.GenreId = Genre.GenreId AND (Genre.Name = 'Reggae' OR Genre.Name = 'Jazz') );","SELECT TrackID, Name, GenreID 
FROM Track
WHERE EXISTS
(SELECT GenreID FROM Genre WHERE Track.GenreId = Genre.GenreId AND Genre.Name = 'Reggae' OR Genre.Name = 'Jazz');",pm,1,,1,
,53,,"SELECT TrackID, Name, GenreID 
FROM Track;",0,"0,266667",,1,
,54,,"SELECT TrackID, Name, GenreID 
FROM Track
WHERE GenreID IN
(SELECT GenreID FROM Genre WHERE Track.GenreId = Genre.GenreId AND (Genre.Name = 'Reggae' OR Genre.Name = 'Jazz') );",1,1,,0,
"Inner, left, self join",55,"SELECT PlaylistTrack.PlaylistId, Track.TrackId, Track.Name, Genre.Name FROM 
( (PlaylistTrack INNER JOIN Track ON PlaylistTrack.TrackId = Track.TrackId)
  INNER join
  Genre ON Genre.GenreId = Track.GenreId
);","SELECT PlaylistTrack.PlaylistId, Track.TrackId, Track.Name, Genre.Name FROM 
( (PlaylistTrack JOIN Track ON PlaylistTrack.TrackId = Track.TrackId)
  INNER join
  Genre ON  Track.GenreId = Genre.GenreId 
);",1,1,,0,
,56,"SELECT Customer.CustomerId, Invoice.InvoiceId
FROM Customer LEFT JOIN Invoice
ON Customer.CustomerId = Invoice.InvoiceId","SELECT Customer.CustomerId, Invoice.InvoiceId
FROM Customer LEFT OUTER JOIN Invoice
ON Customer.CustomerId = Invoice.InvoiceId",1,1,,0,
,57,"SELECT A.FirstName AS CustomerName1, B.FirstName AS CustomerName2, A.City
FROM Customer A, Customer B
WHERE A.CustomerID != B.CustomerID
AND A.City = B.City 
ORDER BY A.City;","SELECT X.FirstName AS CustomerName1, Y.FirstName AS CustomerName2, Y.City
FROM Customer X, Customer Y
WHERE Y.CustomerID <> X.CustomerID
AND X.City = Y.City 
ORDER BY Y.City;",1,1,,0,
to much joins,58,"SELECT PlaylistTrack.PlaylistId, Track.TrackId, Track.Name FROM 
(PlaylistTrack INNER JOIN Track ON PlaylistTrack.TrackId = Track.TrackId
);
","SELECT PlaylistTrack.PlaylistId, Track.TrackId, Track.Name, Genre.Name FROM 
( (PlaylistTrack INNER JOIN Track ON PlaylistTrack.TrackId = Track.TrackId)
  INNER join
  Genre ON Genre.GenreId = Track.GenreId
);
",0,0,,0,
,,,,,,,,%
,,,,,,Expected != actual: ,25,"44,6"
,,,,,,error,0,0
